question_id,personality_pattern,phrasing
U2,high_t_high_j,"What are the measurable criteria for success?"
U2,high_f_high_j,"What would a successful outcome mean for the people involved?"
U2,high_t_high_p,"What signals would indicate this is working?"
U2,high_f_high_p,"How would you feel if this turned out well? What would that look like?"
U2,high_a,"What does success look like?"
U2,high_t_identity,"What would success look like? And what pitfalls do you want to avoid?"
U2,neutral,"How will you measure whether this is successful?"
U4,high_s,"What specific limitations apply — budget, time, word count, format?"
U4,high_n,"What boundaries should this stay within?"
U4,high_t,"What are the hard constraints versus nice-to-haves?"
U4,high_f,"What limitations should we respect to keep everyone comfortable?"
U4,high_j,"What are the non-negotiable constraints?"
U4,high_p,"What constraints exist, and which might be flexible?"
U4,neutral,"What constraints or limitations should be considered?"
COS3,high_t,"What are the key facts and data points the content must convey?"
COS3,high_f,"How should the reader feel after engaging with this content?"
COS3,high_s,"What specific details and examples should be included?"
COS3,high_n,"What's the big-picture message or theme?"
SRF1,high_a,"What would make this output genuinely excellent versus merely acceptable?"
SRF1,high_j,"What are the non-negotiable quality criteria?"
SRF1,high_p,"What aspects would benefit most from exploration and refinement?"
SRF1,high_t_identity,"What quality threshold should stop further iteration?"
