task_category_code,cognitive_requirement_code,requirement_level
DECISION,OBJECTIVE,primary
DECISION,RISK,primary
DECISION,DECISIVE,secondary
DECISION,EXPLORE,secondary
STRATEGY,VISION,primary
STRATEGY,DETAIL,primary
STRATEGY,RISK,secondary
STRATEGY,DECISIVE,secondary
STRATEGY,SYNTHESIS,secondary
PLANNING,DETAIL,primary
PLANNING,STRUCTURE,primary
PLANNING,RISK,secondary
PLANNING,DECISIVE,secondary
ANALYSIS,OBJECTIVE,primary
ANALYSIS,DETAIL,primary
ANALYSIS,RISK,secondary
ANALYSIS,ABSTRACTION,secondary
ANALYSIS,SYNTHESIS,secondary
CREATION_CONTENT,STRUCTURE,secondary
CREATION_CONTENT,ITERATIVE,secondary
CREATION_TECHNICAL,DETAIL,primary
CREATION_TECHNICAL,OBJECTIVE,primary
CREATION_TECHNICAL,STRUCTURE,secondary
CREATION_TECHNICAL,ITERATIVE,secondary
IDEATION,CREATIVE,primary
IDEATION,EXPLORE,primary
IDEATION,VISION,secondary
PROBLEM_SOLVING,OBJECTIVE,primary
PROBLEM_SOLVING,DETAIL,primary
PROBLEM_SOLVING,RISK,secondary
PROBLEM_SOLVING,EXPLORE,secondary
PROBLEM_SOLVING,AGENTIC,secondary
OPTIMIZATION,OBJECTIVE,primary
OPTIMIZATION,DETAIL,primary
OPTIMIZATION,ITERATIVE,secondary
OPTIMIZATION,RISK,secondary
LEARNING,STRUCTURE,primary
LEARNING,PEDAGOGY,primary
LEARNING,ABSTRACTION,secondary
PERSUASION,PERSUASION,primary
PERSUASION,EMPATHY,primary
PERSUASION,WARM,secondary
PERSUASION,STRUCTURE,secondary
FEEDBACK,EMPATHY,primary
FEEDBACK,OBJECTIVE,primary
FEEDBACK,WARM,secondary
FEEDBACK,ITERATIVE,secondary
RESEARCH,OBJECTIVE,primary
RESEARCH,EXPLORE,primary
RESEARCH,SYNTHESIS,primary
RESEARCH,DETAIL,secondary
RESEARCH,AGENTIC,secondary
GOAL_SETTING,DETAIL,primary
GOAL_SETTING,DECISIVE,primary
GOAL_SETTING,VISION,secondary
